session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260816_115524,1,bayesian,1,1,AI,16,28,7,4,2,-1.5,1,3.524,4,1,3,1,0,3,5,2,0,1,1,0,98.688
20260816_115524,2,bayesian,1,1,AI,13,23,3,1,1,-2,1,1.286,0,0,0,0,0,0,1,1,0,0,1,0,91.714
20260816_115524,3,bayesian,1,1,AI,18,24,1,0,0,,0,2,1,1,0,1,0,0,0,0,0,0,0,0,96
20260816_115524,4,bayesian,1,1,AI,14,32,3,2,0,-4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,100.8
20260816_115524,5,bayesian,1,1,AI,3,12,9,3,5,-5.667,0,2.259,1,1,0,0,1,0,6,4,2,1,1,0,98.458
20260816_115524,6,bayesian,1,1,Draw,13,13,3,2,1,-5,1,2.8,1,1,0,0,1,0,1,1,0,0,1,0,83.889
20260816_115524,7,bayesian,1,1,Player,17,11,3,0,2,,0,2,0,0,0,0,0,0,2,2,0,0,2,0,99.778
20260816_115524,8,bayesian,1,1,Player,17,7,2,0,1,,0,2,0,0,0,0,0,0,1,1,0,0,1,0,102.2
20260816_115524,9,bayesian,1,1,AI,9,20,6,3,2,-3.333,1,1.667,0,0,0,0,0,0,3,2,0,2,0,0,99.846
20260816_115524,10,bayesian,1,1,AI,13,35,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,101
20260816_115524,11,bayesian,1,1,Player,21,8,4,3,1,-3.667,1,1.833,2,0,2,0,0,2,2,1,1,0,0,0,101.444
20260816_121339,1,bayesian,1,1,Player,23,7,1,1,0,-7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,82
20260816_121339,2,bayesian,1,1,Player,36,20,1,1,0,-1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,91
20260816_121339,3,bayesian,1,1,Player,25,23,1,1,0,-10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,67
