session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260809_021702,1,bayesian,1,1,Player,22,14,4,3,1,-5.333,1,2.455,4,1,3,1,0,3,2,0,0,0,0,0,250.125
20260809_021702,2,bayesian,1,1,Player,17,16,5,2,3,-3.5,0,1.438,0,0,0,0,0,0,3,3,2,0,1,0,263
20260809_021702,3,bayesian,1,1,Player,20,13,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,253
20260809_021702,4,bayesian,1,1,AI,13,16,1,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,245
20260809_021702,5,bayesian,1,1,AI,5,35,1,0,0,,0,2,1,1,0,1,0,0,0,0,0,0,0,0,238
20260809_021702,6,bayesian,1,1,AI,18,19,2,0,1,,0,1.667,0,0,0,0,0,0,1,1,0,0,0,1,262.8
20260809_021702,7,bayesian,1,1,AI,2,5,5,3,1,-1,3,1.818,2,2,0,2,0,0,1,1,0,1,0,0,242.1
20260809_184403,1,bayesian,1,1,Player,31,7,3,1,2,-7,0,2.636,3,1,2,1,0,2,1,1,0,1,0,0,203.571
20260809_184403,2,bayesian,1,1,AI,9,20,3,0,2,,0,1.545,2,2,0,2,0,0,2,2,1,0,1,0,243.222
20260809_184403,3,bayesian,1,1,Player,27,17,7,4,3,-1.25,0,3,8,2,6,2,0,5,5,3,0,1,1,1,241.105
20260809_184403,4,bayesian,1,1,AI,24,25,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,225
20260809_184403,5,bayesian,1,1,AI,10,12,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,226
20260809_184403,6,bayesian,1,1,AI,11,20,2,1,0,-2,0,2,2,2,0,2,0,0,1,0,0,0,0,0,236
20260809_184403,7,bayesian,1,1,Player,16,14,7,4,2,-6.25,2,1.278,1,1,0,1,0,0,2,2,0,1,1,0,242.5
20260809_184403,8,bayesian,1,1,Player,32,9,7,6,0,-1.167,2,1.524,9,4,5,4,0,4,3,0,0,0,0,0,217.643
20260809_184403,9,bayesian,1,1,AI,7,11,6,4,2,-5,2,0.8,1,1,0,1,0,0,2,1,1,0,0,0,230.308
20260809_184403,10,bayesian,1,1,Player,12,5,6,3,2,-6.333,2,1.571,0,0,0,0,0,0,1,1,1,0,0,0,229.692
20260809_184403,11,bayesian,1,1,Player,48,41,7,4,2,-0.25,0,2.81,7,1,6,1,0,4,5,1,0,0,1,0,250.267
