session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260811_001150,1,ICMCTS,0,AI,3,11,19,1,6.889,,,
20260811_001150,2,ICMCTS,0,AI,6,5,30,1,5,,,
20260811_001150,3,ICMCTS,0,AI,5,9,15,1,9,,,
20260811_001150,4,ICMCTS,0,AI,3,12,8,0,9.889,,,
20260811_001150,5,ICMCTS,0,AI,3,7,15,1,8.889,,,
20260811_001150,6,ICMCTS,0,AI,6,7,32,1,7,,,
20260811_001150,7,ICMCTS,0,AI,4,13,6,0,9.889,,,
20260811_001150,8,ICMCTS,0,Player,6,31,17,1,,,,
20260811_001150,9,ICMCTS,0,AI,5,10,7,0,10,,,
20260811_001150,10,ICMCTS,0,AI,8,6,25,1,9.889,,,
20260811_001150,11,ICMCTS,0,AI,4,5,25,1,9.889,,,
