session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260813_000911,1,ICMCTS,0,AI,3,4,18,1,4,,,
20260813_000911,2,ICMCTS,0,Player,12,3,5,0,,,,
20260813_000911,3,ICMCTS,0,AI,6,3,10,1,8.889,,,
20260813_000911,4,ICMCTS,0,AI,9,1,13,1,1,,,
20260813_000911,5,ICMCTS,0,AI,9,0,0,0,5.889,,,
20260813_000911,6,ICMCTS,0,AI,6,3,8,1,3,,,
20260813_000911,7,ICMCTS,0,Player,14,12,4,1,,,,
20260813_000911,8,ICMCTS,0,AI,2,9,44,1,8.889,,,
20260813_000911,9,ICMCTS,0,Player,5,12,6,1,,,,
20260813_000911,10,ICMCTS,0,AI,2,9,10,1,9.889,,,
20260813_000911,11,ICMCTS,0,Player,4,16,12,1,,,,
