session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260810_162051,1,bayesian,1,0,None,22,33,3,2,0,-8.5,1,2.5,1,1,0,1,0,0,0,0,0,0,0,0,97.2
20260810_162051,2,bayesian,1,0,None,20,26,2,0,1,,0,2.2,0,0,0,0,0,0,1,1,0,0,1,0,95.8
20260810_162051,3,bayesian,1,0,None,24,21,2,1,0,-4,1,1.667,0,0,0,0,0,0,0,0,0,0,0,0,101.333
20260810_162051,4,bayesian,1,1,AI,17,23,2,0,2,,0,2,1,1,0,1,0,0,2,2,1,0,1,0,99.571
20260810_162051,5,bayesian,1,1,AI,7,18,2,1,0,-7,0,1.8,2,2,0,1,1,0,0,0,0,0,0,0,99.6
20260810_162051,6,bayesian,1,1,AI,4,28,3,0,2,,0,2.545,1,1,0,0,1,0,2,2,0,0,2,0,103.182
20260810_162051,7,bayesian,1,1,Player,19,17,3,1,2,-6,1,1.2,0,0,0,0,0,0,2,2,1,1,0,0,97.75
20260810_162051,8,bayesian,1,1,AI,17,28,3,2,0,-6,0,2,1,1,0,1,0,0,0,0,0,0,0,0,96.333
20260810_162051,9,bayesian,1,1,AI,13,17,5,2,3,-1,2,2,1,0,1,0,0,1,3,2,1,1,0,0,101
20260810_162051,10,bayesian,1,1,AI,13,31,2,0,1,,0,2.429,1,1,0,0,1,0,1,1,0,0,1,0,97.571
20260810_162051,11,bayesian,1,1,AI,9,12,2,0,1,,0,2,0,0,0,0,0,0,1,1,0,0,0,1,103.6
20260810_162051,12,bayesian,1,1,Draw,18,18,6,6,0,-2.333,0,3.5,4,1,3,1,0,3,2,0,0,0,0,0,99.083
20260810_162051,13,bayesian,1,1,Draw,14,14,5,2,2,-2.5,0,1.571,1,1,0,1,0,0,3,2,1,0,1,0,104.083
20260810_162051,14,bayesian,1,1,AI,18,29,1,0,0,,0,3,1,1,0,1,0,0,0,0,0,0,0,0,98
