session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260810_171200,1,ICMCTS,0,1,AI,9,29,3,2,0,-5.5,2,1.2,1,1,0,1,0,0,0,0,0,0,0,0,92.2
20260810_171200,2,ICMCTS,0,1,AI,10,19,4,1,2,-8,0,2.083,1,1,0,1,0,0,2,2,1,0,0,1,91.2
20260810_171200,3,ICMCTS,0,1,Player,13,12,3,2,0,-5.5,1,2.571,2,2,0,2,0,0,0,0,0,0,0,0,92.167
20260810_171200,4,ICMCTS,0,1,Player,19,18,6,2,4,-0.5,1,1.632,2,2,0,2,0,0,5,3,1,1,1,0,88.438
20260810_171200,5,ICMCTS,0,1,Player,12,11,3,1,1,-3,1,1.875,1,1,0,1,0,0,1,1,0,1,0,0,94.167
20260810_171200,6,ICMCTS,0,1,Player,45,27,4,3,1,0,0,2.5,4,1,3,1,0,3,3,1,0,0,0,1,92.8
20260810_171200,7,ICMCTS,0,1,AI,7,15,4,2,1,-1.5,2,2,1,1,0,1,0,0,1,1,0,0,1,0,89.7
20260810_171200,8,ICMCTS,0,1,AI,1,13,6,2,3,-7,2,2.063,1,1,0,1,0,0,2,2,0,0,2,0,91.133
20260810_171200,9,ICMCTS,0,1,Player,13,12,7,2,5,-1,2,2.375,0,0,0,0,0,0,5,5,2,1,2,0,88.381
20260810_171200,10,ICMCTS,0,1,Player,17,5,6,2,4,-2,1,1.722,0,0,0,0,0,0,3,3,1,0,2,0,90
20260810_171200,11,ICMCTS,0,1,AI,6,11,6,3,3,-5.667,0,1.75,1,1,0,1,0,0,4,3,1,0,2,0,87.889
