session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260815_091044,1,bayesian,1,1,AI,9,23,2,0,1,,0,3,0,0,0,0,0,0,1,1,0,0,0,1,71.2
20260815_091044,2,bayesian,1,1,Player,29,21,1,0,0,,0,3,1,1,0,0,1,0,0,0,0,0,0,0,66
20260815_091044,3,bayesian,1,1,Player,15,10,2,1,0,-7,1,1.667,0,0,0,0,0,0,0,0,0,0,0,0,72.667
20260815_091044,4,bayesian,1,1,Player,46,23,3,2,1,3,0,2,2,0,2,0,0,2,3,1,0,0,0,1,68.75
20260815_091044,5,bayesian,1,1,AI,15,24,3,0,2,,0,1.889,1,1,0,1,0,0,2,2,1,1,0,0,70.857
20260815_091044,6,bayesian,1,1,Player,20,13,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,73
20260815_091044,7,bayesian,1,1,AI,9,10,4,3,0,-4,1,1.571,1,1,0,1,0,0,0,0,0,0,0,0,72.857
20260815_091044,8,bayesian,1,1,AI,8,17,3,1,1,-2,1,1.778,1,1,0,1,0,0,1,1,0,0,0,1,71
20260815_091044,9,bayesian,1,1,Player,22,8,3,2,1,-6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,70.667
20260815_091044,10,bayesian,1,1,Player,48,23,4,3,1,-2,1,2.143,3,0,3,0,0,3,3,1,0,0,0,1,67.9
20260815_091044,11,bayesian,1,1,Player,17,7,5,3,2,-2.667,1,2.467,0,0,0,0,0,0,2,2,1,0,0,1,71.769
