session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260809_193445,1,ICMCTS,0,AI,3,10,19,1,5.889,,,
20260809_193445,2,ICMCTS,0,AI,4,13,24,1,9.889,,,
20260809_193445,3,ICMCTS,0,AI,5,8,29,1,9.889,,,
20260809_193445,4,ICMCTS,0,AI,6,10,12,1,10,,,
20260809_193445,5,ICMCTS,0,AI,2,6,20,1,4.889,,,
20260809_193445,6,ICMCTS,0,AI,3,12,30,1,7.889,,,
20260809_193445,7,ICMCTS,0,AI,5,7,47,1,7,,,
20260809_193445,8,ICMCTS,0,Player,2,19,30,0,,,,
20260809_193445,9,ICMCTS,0,Player,1,21,18,1,,,,
20260809_193445,10,ICMCTS,0,AI,6,8,42,1,8,,,
20260809_193445,11,ICMCTS,0,Player,3,28,49,0,,,,
