session_id,match_index,agent_label,bayesian_on,completed,winner,ai_score,player_score,ai_turns,ai_swaps,ai_discards,ai_swap_value_delta_avg,ai_unknown_swaps,ai_hidden_own_avg,ai_match_attempts,ai_match_success,ai_match_fail,ai_matches_on_own,ai_matches_on_opponent,ai_penalties,ai_power_cards_drawn,ai_powers_played,ai_power_look_own,ai_power_look_opp,ai_power_blind_swap,ai_power_look_swap,ai_decision_ms_avg
20260805_175321,1,bayesian,1,1,AI,10,11,7,1,6,-6,1,1.286,1,0,1,0,0,1,6,6,1,3,2,0,118.522
20260805_175321,2,bayesian,1,1,Player,16,11,2,1,0,-2,0,1.75,1,1,0,1,0,0,0,0,0,0,0,0,118
20260805_175321,3,bayesian,1,1,Player,18,12,4,2,1,-3.5,1,0.8,1,1,0,1,0,0,2,1,0,0,0,1,114.333
20260805_175321,4,bayesian,1,1,AI,16,17,1,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,113
20260805_175321,5,bayesian,1,1,AI,12,14,4,3,1,-4,1,1.6,0,0,0,0,0,0,2,1,0,0,1,0,109.9
20260805_175321,6,bayesian,1,1,Draw,7,7,3,1,1,-5,1,1.333,0,0,0,0,0,0,1,1,1,0,0,0,113.75
20260805_175321,7,bayesian,1,1,AI,7,21,2,0,1,,0,1.714,1,1,0,1,0,0,1,1,0,0,0,1,119.833
20260805_175321,8,bayesian,1,1,Draw,5,5,5,3,1,-2.667,2,1.462,2,2,0,1,1,0,1,1,1,0,0,0,115.917
20260805_175321,9,bayesian,1,1,AI,7,15,2,0,1,,0,1.556,2,2,0,1,1,0,1,1,0,0,0,1,116.714
20260805_175321,10,bayesian,1,1,Draw,6,6,3,2,0,-7,1,1.286,1,1,0,0,1,0,0,0,0,0,0,0,117.833
20260805_175321,11,bayesian,1,1,AI,13,25,1,0,0,,0,2,1,1,0,0,1,0,0,0,0,0,0,0,112.667
